timestamp,service,volume_mbps
18:20:59,Web_Traffic,110.51
18:20:59,Video_Stream,552.44
18:20:59,IoT_Telemetry,50.97
18:21:59,Web_Traffic,127.85
18:21:59,Video_Stream,553.31
18:21:59,IoT_Telemetry,46.25
18:22:59,Web_Traffic,132.12
18:22:59,Video_Stream,539.18
18:22:59,IoT_Telemetry,50.95
18:23:59,Web_Traffic,140.32
18:23:59,Video_Stream,514.14
18:23:59,IoT_Telemetry,45.65
18:24:59,Web_Traffic,140.34
18:24:59,Video_Stream,576.16
18:24:59,IoT_Telemetry,45.0
18:25:59,Web_Traffic,129.22
18:25:59,Video_Stream,575.96
18:25:59,IoT_Telemetry,44.84
18:26:59,Web_Traffic,133.09
18:26:59,Video_Stream,524.23
18:26:59,IoT_Telemetry,48.08
18:27:59,Web_Traffic,152.03
18:27:59,Video_Stream,528.11
18:27:59,IoT_Telemetry,40.52
18:28:59,Web_Traffic,156.51
18:28:59,Video_Stream,513.56
18:28:59,IoT_Telemetry,46.19
18:29:59,Web_Traffic,147.8
18:29:59,Video_Stream,471.64
18:29:59,IoT_Telemetry,43.84
18:30:59,Web_Traffic,151.99
18:30:59,Video_Stream,514.6
18:30:59,IoT_Telemetry,45.47
18:31:59,Web_Traffic,159.99
18:31:59,Video_Stream,437.19
18:31:59,IoT_Telemetry,38.83
18:32:59,Web_Traffic,140.15
18:32:59,Video_Stream,451.03
18:32:59,IoT_Telemetry,39.89
18:33:59,Web_Traffic,147.38
18:33:59,Video_Stream,465.51
18:33:59,IoT_Telemetry,42.85
18:34:59,Web_Traffic,137.22
18:34:59,Video_Stream,385.89
18:34:59,IoT_Telemetry,36.96
18:35:59,Web_Traffic,146.42
18:35:59,Video_Stream,411.52
18:35:59,IoT_Telemetry,38.91
18:36:59,Web_Traffic,151.41
18:36:59,Video_Stream,381.51
18:36:59,IoT_Telemetry,43.29
18:37:59,Web_Traffic,155.81
18:37:59,Video_Stream,381.21
18:37:59,IoT_Telemetry,37.39
18:38:59,Web_Traffic,138.52
18:38:59,Video_Stream,335.23
18:38:59,IoT_Telemetry,43.52
18:39:59,Web_Traffic,147.58
18:39:59,Video_Stream,327.94
18:39:59,IoT_Telemetry,43.62
18:40:59,Web_Traffic,157.88
18:40:59,Video_Stream,312.44
18:40:59,IoT_Telemetry,44.92
18:41:59,Web_Traffic,147.23
18:41:59,Video_Stream,317.63
18:41:59,IoT_Telemetry,40.93
18:42:59,Web_Traffic,142.66
18:42:59,Video_Stream,311.83
18:42:59,IoT_Telemetry,46.42
18:43:59,Web_Traffic,132.75
18:43:59,Video_Stream,278.13
18:43:59,IoT_Telemetry,46.85
18:44:59,Web_Traffic,139.18
